Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Meteorological,Storm,Severe weather,NPL,Nepal,Southern Asia,144.0,2022,6,,2022,6,20.0,21.0,29.0,515.0,544.0,97437.0,93.29460735164001
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.3,2000,2,2.0,2000,2,2.0,1.0,15.0,1500.0,2015.0,104477.5,54.89515197353657
Biological,Epidemic,Viral disease,AFG,Afghanistan,Southern Asia,189000.0,2000,1,,2000,1,,507.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,4.9,2000,2,14.0,2000,2,14.0,7.0,89.0,1000.0,1000.0,104477.5,54.89515197353657
Biological,Epidemic,Viral disease,IDN,Indonesia,South-eastern Asia,189000.0,2000,1,,2000,1,,10.0,2610.0,1516.0,1516.0,100642.5,54.89515197353657
Hydrological,Flood,Flood (General),PAK,Pakistan,Southern Asia,29905.0,2022,6,14.0,2022,6,14.0,1739.0,12865.0,33000000.0,33012865.0,16078100.0,93.29460735164001
Biological,Epidemic,Infectious disease (General),PAK,Pakistan,Southern Asia,189000.0,2000,3,,2000,3,,95.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Meteorological,Extreme temperature,Heat wave,KOR,Republic of Korea,Eastern Asia,35.0,2022,7,1.0,2022,7,2.0,2.0,355.0,75000.0,355.0,90654.0,93.29460735164001
Biological,Epidemic,Infectious disease (General),MYS,Malaysia,South-eastern Asia,189000.0,2000,1,,2000,1,,2.0,2610.0,480.0,480.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),BGD,Bangladesh,Southern Asia,189000.0,2000,3,,2000,3,,31.0,2610.0,3352.0,3352.0,100642.5,54.89515197353657
Biological,Epidemic,Bacterial disease,NPL,Nepal,Southern Asia,189000.0,2022,6,16.0,2022,6,30.0,31.0,2610.0,30000.0,30000.0,100642.5,93.29460735164001
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2022,8,14.0,2022,8,16.0,19.0,21.0,63100.0,63100.0,107022.0,93.29460735164001
Biological,Epidemic,Bacterial disease,SAU,Saudi Arabia,Western Asia,189000.0,2000,3,,2000,3,27.0,57.0,2610.0,168.0,168.0,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,4.5,2000,5,7.0,2000,5,7.0,1.0,89.0,1000.0,1000.0,104477.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),IRN,Iran (Islamic Republic of),Southern Asia,189000.0,2000,5,2.0,2000,5,2.0,76.0,2610.0,886.0,1027.5,100642.5,54.89515197353657
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,6.0,2000,6,6.0,2000,6,6.0,2.0,80.0,23000.0,23080.0,104477.5,54.89515197353657
Biological,Epidemic,Viral disease,AFG,Afghanistan,Southern Asia,189000.0,2000,5,,2000,5,11.0,16.0,2610.0,11.0,11.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IND,India,Southern Asia,189000.0,2000,5,,2000,5,,84.0,2610.0,1055.0,1055.0,100642.5,54.89515197353657
Biological,Epidemic,Infectious disease (General),PAK,Pakistan,Southern Asia,189000.0,2000,6,,2000,6,,4.0,2610.0,246.0,246.0,100642.5,54.89515197353657
Biological,Epidemic,Bacterial disease,IND,India,Southern Asia,189000.0,2000,5,,2000,5,,31.0,2610.0,192.0,192.0,100642.5,54.89515197353657
Biological,Epidemic,Viral disease,IDN,Indonesia,South-eastern Asia,189000.0,2000,5,,2000,5,,15.0,2610.0,203.0,203.0,100642.5,54.89515197353657
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,12555.0,2010,9,5.0,2010,9,17.0,19.0,21.0,30000.0,30000.0,107022.0,69.51329329264284
Meteorological,Storm,Storm surge,KHM,Cambodia,South-eastern Asia,144.0,2022,9,28.0,2022,9,29.0,16.0,52.0,40000.0,14400.0,97437.0,93.29460735164001
Biological,Epidemic,Viral disease,KAZ,Kazakhstan,Central Asia,189000.0,2000,1,,2000,1,,31.0,2610.0,114.0,114.0,100642.5,54.89515197353657
