Country,Subregion,ISO,Start_Year,event_count,total_deaths,total_affected,total_damage,unique_types,storm_count,earthquake_count,epidemic_count,flood_count,extreme_temperature_count,mass_movement_wet_count,volcanic_activity_count,other_count,drought_count,wildfire_count,prev_year_count,prev_total_deaths,prev_total_affected,prev_total_damage,log_prev_total_deaths,log_prev_total_affected,log_prev_total_damage,High_Occurrence
Afghanistan,Southern Asia,AFG,2001,5,485.0,204695.0,396434.5,3,0,1,2,0,2,0,0,0,0,0,5,594.0,2583255.5,402661.0,6.38856140554563,14.764561370283635,12.905852779337657,0
Afghanistan,Southern Asia,AFG,2002,16,4133.0,337780.0,1567226.0,4,0,3,8,4,0,1,0,0,0,0,5,485.0,204695.0,396434.5,6.186208623900494,12.229281230667056,12.890268633432107,1
Afghanistan,Southern Asia,AFG,2003,9,156.0,44754.0,960653.5,2,0,1,0,8,0,0,0,0,0,0,16,4133.0,337780.0,1567226.0,8.327000740241713,12.730153035474368,14.264818373641706,1
Afghanistan,Southern Asia,AFG,2004,3,37.0,5540.0,318521.5,2,0,1,0,2,0,0,0,0,0,0,9,156.0,44754.0,960653.5,5.056245805348308,10.708958449305038,13.775370101977195,0
Afghanistan,Southern Asia,AFG,2005,13,658.0,97707.5,1160061.0,5,1,2,1,8,1,0,0,0,0,0,3,37.0,5540.0,318521.5,3.6375861597263857,8.61993026886735,12.671448395141283,1
Afghanistan,Southern Asia,AFG,2006,13,438.0,2283010.0,1453967.5,5,2,1,0,7,0,2,0,0,1,0,13,658.0,97707.5,1160061.0,6.490723534502507,11.489743835270046,13.963984009930101,1
Afghanistan,Southern Asia,AFG,2007,7,296.0,50255.0,749154.0,1,0,0,0,7,0,0,0,0,0,0,13,438.0,2283010.0,1453967.5,6.0844994130751715,14.641005743721964,14.189807272466785,1
Afghanistan,Southern Asia,AFG,2008,4,1390.0,452964.0,662649.5,4,0,0,1,1,1,0,0,0,1,0,7,296.0,50255.0,749154.0,5.6937321388027,10.824885221778429,13.526701183679812,0
Afghanistan,Southern Asia,AFG,2009,5,101.0,85857.0,368330.0,3,0,1,0,3,0,1,0,0,0,0,4,1390.0,452964.0,662649.5,7.237778191923443,13.023570138787099,13.404002980854681,0
Afghanistan,Southern Asia,AFG,2010,5,350.0,46500.0,359652.5,3,0,1,0,2,0,2,0,0,0,0,5,101.0,85857.0,368330.0,4.624972813284271,11.360450047773263,12.816737269404186,0
Afghanistan,Southern Asia,AFG,2011,4,120.0,1762815.0,509507.0,3,1,0,0,2,0,0,0,0,1,0,5,350.0,46500.0,359652.5,5.860786223465865,10.747229096720554,12.79289634693173,0
Afghanistan,Southern Asia,AFG,2012,11,418.0,75112.0,898960.0,4,0,1,0,6,1,3,0,0,0,0,4,120.0,1762815.0,509507.0,4.795790545596741,14.382423088378031,13.141200833189949,1
Afghanistan,Southern Asia,AFG,2013,6,155.0,41628.0,553131.0,3,0,1,0,4,0,1,0,0,0,0,11,418.0,75112.0,898960.0,6.037870919922137,11.226748925301672,13.708994930977713,1
Afghanistan,Southern Asia,AFG,2014,3,575.0,156455.0,208434.0,2,1,0,0,2,0,0,0,0,0,0,6,155.0,41628.0,553131.0,5.049856007249537,10.636552318761908,13.223351950031484,0
Afghanistan,Southern Asia,AFG,2015,7,453.0,129849.0,381643.5,3,0,2,0,1,0,4,0,0,0,0,3,575.0,156455.0,208434.0,6.3561076606958915,11.960530099272486,12.247382521017153,1
Afghanistan,Southern Asia,AFG,2016,4,84.0,80000.0,428088.0,1,0,0,0,4,0,0,0,0,0,0,7,453.0,129849.0,381643.5,6.118097198041348,11.774135217090894,12.85224482601312,0
Afghanistan,Southern Asia,AFG,2017,5,226.0,25940.0,343027.0,3,2,0,0,1,0,2,0,0,0,0,4,84.0,80000.0,428088.0,4.442651256490317,11.289794413577894,12.967086396871826,0
Afghanistan,Southern Asia,AFG,2018,5,150.0,13544300.0,705962.5,3,0,0,0,3,0,1,0,0,1,0,5,226.0,25940.0,343027.0,5.424950017481403,10.16358000762854,12.745567355469374,0
Afghanistan,Southern Asia,AFG,2019,7,211.0,191242.0,662697.5,2,0,0,0,6,0,1,0,0,0,0,5,150.0,13544300.0,705962.5,5.017279836814924,16.42147642641113,13.467318815422189,1
Afghanistan,Southern Asia,AFG,2020,7,328.0,71817.0,653112.5,3,1,0,0,5,0,1,0,0,0,0,7,211.0,191242.0,662697.5,5.356586274672012,12.16130014971175,13.404075414606124,1
Afghanistan,Southern Asia,AFG,2021,4,433.0,11035333.0,598940.5,3,0,0,0,2,0,1,0,0,1,0,7,328.0,71817.0,653112.5,5.796057750765372,11.18189041999606,13.389506206324794,0
Afghanistan,Southern Asia,AFG,2022,8,1462.0,635714.0,764630.5,3,0,2,0,5,0,1,0,0,0,0,4,433.0,11035333.0,598940.5,6.073044534100405,16.216612864546146,13.302919209556983,1
Afghanistan,Southern Asia,AFG,2023,6,1723.0,413084.0,737053.0,3,0,3,0,2,1,0,0,0,0,0,8,1462.0,635714.0,764630.5,7.288244401020124,13.362505628681983,13.547149297407866,1
Afghanistan,Southern Asia,AFG,2024,9,2023.0,681714.0,767537.5,4,0,0,1,5,1,2,0,0,0,0,6,1723.0,413084.0,737053.0,7.452402451223638,12.931408661904978,13.510416438500926,1
Armenia,Western Asia,ARM,2004,1,1.0,20000.0,107022.0,1,0,0,0,1,0,0,0,0,0,0,1,37.0,297000.0,182165.0,3.6375861597263857,12.601490784782536,12.112673638271591,1
Armenia,Western Asia,ARM,2013,2,62.0,76000.0,171447.0,2,1,0,0,0,1,0,0,0,0,0,1,1.0,20000.0,107022.0,0.6931471805599453,9.90353755128617,11.580799043615928,1
Armenia,Western Asia,ARM,2016,1,21.0,750.0,20565.5,1,0,0,0,0,0,1,0,0,0,0,2,62.0,76000.0,171447.0,4.143134726391533,11.23850177707664,12.052035292614512,1
Armenia,Western Asia,ARM,2018,1,12.0,9900.0,2276.0,1,1,0,0,0,0,0,0,0,0,0,1,21.0,750.0,20565.5,3.091042453358316,6.621405651764134,9.93141881746482,1
Armenia,Western Asia,ARM,2019,1,12.0,11700.0,97437.0,1,1,0,0,0,0,0,0,0,0,0,1,12.0,9900.0,2276.0,2.5649493574615367,9.200391041122515,7.7306140660637395,1
Armenia,Western Asia,ARM,2020,1,12.0,2836.0,97437.0,1,1,0,0,0,0,0,0,0,0,0,1,12.0,11700.0,97437.0,2.5649493574615367,9.367429587218957,11.486971557281514,1
Armenia,Western Asia,ARM,2023,1,12.0,18000.0,97437.0,1,1,0,0,0,0,0,0,0,0,0,1,12.0,2836.0,97437.0,2.5649493574615367,7.950502434808851,11.486971557281514,1
Armenia,Western Asia,ARM,2024,1,4.0,429.0,50000.0,1,0,0,0,1,0,0,0,0,0,0,1,12.0,18000.0,97437.0,2.5649493574615367,9.798182590890704,11.486971557281514,1
Azerbaijan,Western Asia,AZE,2003,1,19.0,31500.0,93787.0,1,0,0,0,1,0,0,0,0,0,0,3,79.0,2103594.0,220947.5,4.382026634673881,14.559158343816769,12.305684921669583,1
Azerbaijan,Western Asia,AZE,2009,1,19.0,5000.0,107022.0,1,0,0,0,1,0,0,0,0,0,0,1,19.0,31500.0,93787.0,2.995732273553991,10.357774570341576,11.448792195040626,1
Azerbaijan,Western Asia,AZE,2010,1,3.0,70000.0,107022.0,1,0,0,0,1,0,0,0,0,0,0,1,19.0,5000.0,107022.0,2.995732273553991,8.517393171418904,11.580799043615928,1
Azerbaijan,Western Asia,AZE,2012,3,19.0,27599.0,299609.0,2,0,2,0,0,1,0,0,0,0,0,1,3.0,70000.0,107022.0,1.3862943611198906,11.156264806643742,11.580799043615928,1
Bangladesh,Southern Asia,BGD,2001,7,272.0,730750.0,694446.0,3,4,0,0,2,1,0,0,0,0,0,15,296.0,2872511.0,2303989.0,5.6937321388027,14.870697466242014,14.650152960510722,1
Bangladesh,Southern Asia,BGD,2002,7,928.0,1730104.0,688066.5,4,4,0,1,1,1,0,0,0,0,0,7,272.0,730750.0,694446.0,5.60947179518496,13.501828051429621,13.450871124369593,1
Bangladesh,Southern Asia,BGD,2003,7,520.0,572625.0,694703.5,4,2,1,0,2,2,0,0,0,0,0,7,928.0,1730104.0,688066.5,6.834108738813838,14.363692658273795,13.44164222256808,1
Bangladesh,Southern Asia,BGD,2004,10,1046.0,36897841.5,5289115.0,4,4,1,2,3,0,0,0,0,0,0,7,520.0,572625.0,694703.5,6.255750041753367,13.257988077531111,13.45124185427623,1
Bangladesh,Southern Asia,BGD,2005,12,382.0,1206106.0,1184433.0,3,7,0,0,3,2,0,0,0,0,0,10,1046.0,36897841.5,5289115.0,6.953684210870537,17.4236636384667,15.481161682119954,1
Bangladesh,Southern Asia,BGD,2006,7,192.0,229924.0,701229.0,2,5,0,0,2,0,0,0,0,0,0,12,382.0,1206106.0,1184433.0,5.948034989180646,14.00290837538502,13.984775581315617,1
Bangladesh,Southern Asia,BGD,2007,7,5721.0,23215116.0,4041523.0,4,2,0,2,2,1,0,0,0,0,0,7,192.0,229924.0,701229.0,5.262690188904886,12.345508447770898,13.460591214913217,1
Bangladesh,Southern Asia,BGD,2008,5,68.0,636090.0,429483.5,3,2,0,0,2,0,1,0,0,0,0,7,5721.0,23215116.0,4041523.0,8.652073673610056,16.960314219268387,15.212132406527616,0
Bangladesh,Southern Asia,BGD,2009,6,385.0,6624550.0,1161251.0,4,2,0,0,2,1,0,0,0,1,0,5,68.0,636090.0,429483.5,4.23410650459726,13.363096913848047,12.97034093128027,1
Bangladesh,Southern Asia,BGD,2010,6,126.0,887390.0,526920.5,3,3,0,0,2,0,1,0,0,0,0,6,385.0,6624550.0,1161251.0,5.955837369464831,15.70629315395492,13.965009291390725,1
